Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),"Program-Total
                                            


Seat Capacity
                                            
Female Supernumerary",Program-Total
27,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,1,0,1,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,1,1,0,1,0,1,0,3,0,11,"14


0",0
14,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,1,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,2,0,1,1,1,0,2,0,11,"13


0",0
13,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,1,0,0,0,"2 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,1,0,1,0,1,0,3,1,11,"14


0",0
14,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,1,0,0,0,0,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,3,0,1,0,2,0,0,1,3,0,10,"14


0",0
14,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,1,0,0,0,1,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,1,0,2,0,1,1,3,0,12,"14


0",0
14,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,1,1,0,1,0,1,0,3,0,11,"14


0",0
14,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,1,0,0,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,1,0,1,0,1,0,4,0,11,"14


0",0
14,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,1,0,1,0,0,0,0,0,"3 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,2,1,1,0,1,0,2,0,11,"13


0",0
13,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,1,0,0,0,0,0,"2 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,2,0,1,0,1,0,2,0,10,"13


0",0
13,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,1,0,1,0,0,0,0,0,"3 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,24,1,6,0,9,1,5,0,16,1,63,"71


9",9
71,9,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,1,2,0,3,0,1,0,4,0,"17 (including ""9"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,45,2,11,1,18,1,8,1,29,2,118,"138


8",8
138,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),10,1,3,0,5,0,2,0,7,0,"28 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,52,3,13,1,19,1,9,1,35,2,136,"146


24",24
146,24,,,,,,,,,,,,,,,
Female-only (including Supernumerary),14,0,3,0,5,0,3,0,8,1,"34 (including ""24"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,1,37,"37


9",9
37,9,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""9"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,59,2,13,1,19,1,9,1,39,2,146,"160


24",24
160,24,,,,,,,,,,,,,,,
Female-only (including Supernumerary),15,1,3,0,5,0,3,0,10,1,"38 (including ""24"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,36,1,9,0,12,1,6,1,23,1,90,"90


23",23
90,23,,,,,,,,,,,,,,,
Female-only (including Supernumerary),8,1,1,1,4,0,1,0,7,0,"23 (including ""23"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,5,0,7,0,4,0,12,1,48,"52


7",7
52,7,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,1,1,0,3,0,"11 (including ""7"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,61,3,15,1,23,1,11,1,42,2,160,"169


28",28
169,28,,,,,,,,,,,,,,,
Female-only (including Supernumerary),14,1,4,0,6,0,2,0,9,1,"37 (including ""28"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,41,2,11,1,15,1,8,0,29,1,109,"132


1",1
132,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),9,1,2,0,4,0,1,1,6,0,"24 (including ""1"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,6,0,3,0,9,1,38,"41


5",5
41,5,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""5"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,11,1,3,0,4,0,2,0,7,0,28,"35


0",0
35,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,0,1,1,0,2,0,"7 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Economics (4 Years, Bachelor of Science)",All India,Gender-Neutral,10,1,3,0,4,0,2,0,7,1,28,"35


0",0
35,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,1,0,"7 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",All India,Gender-Neutral,8,0,1,1,2,0,1,0,5,0,18,"18


4",4
18,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""4"" Supernumerary)",,,,,
Indian Institute  of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,28,1,7,0,10,1,6,0,18,1,72,"80


10",10
80,10,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,1,1,0,3,0,1,0,5,0,"18 (including ""10"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,6,0,2,1,11,0,40,"46


4",4
46,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,1,1,0,1,0,1,0,3,0,"10 (including ""4"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,0,9,1,4,1,17,0,64,"74


6",6
74,6,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,2,0,2,0,1,0,3,1,"16 (including ""6"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,5,1,7,1,4,0,15,0,56,"67


3",3
67,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,1,0,1,1,1,0,4,0,"14 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,3,0,2,0,6,1,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,4,0,2,0,5,1,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,5,1,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,1,1,1,3,0,2,0,6,0,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,4,1,7,0,4,0,13,0,48,"54


6",6
54,6,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,2,1,"12 (including ""6"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,4,0,3,0,4,1,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,0,4,0,5,1,3,0,10,1,40,"50


0",0
50,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,1,1,0,1,0,1,0,3,0,"10 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,9,0,4,0,14,1,57,"72


0",0
72,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,2,0,2,0,1,0,4,0,"15 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,23,1,6,0,8,1,5,0,15,1,60,"75


0",0
75,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,1,1,2,0,1,0,4,0,"15 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,1,8,1,12,1,6,1,22,1,88,"108


2",2
108,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),9,0,2,0,3,0,2,0,6,0,"22 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,31,1,7,1,11,1,6,0,20,1,79,"93


6",6
93,6,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,1,2,0,3,0,2,0,5,0,"20 (including ""6"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,37,2,9,1,13,1,6,1,25,1,96,"110


10",10
110,10,,,,,,,,,,,,,,,
Female-only (including Supernumerary),9,1,2,0,4,0,2,0,5,1,"24 (including ""10"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,8,0,4,0,14,0,52,"61


4",4
61,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,4,0,"13 (including ""4"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,0,8,0,3,0,13,1,50,"63


0",0
63,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,4,0,"13 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,1,7,0,10,1,4,1,18,1,71,"86


3",3
86,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,1,2,0,2,1,1,0,5,0,"18 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,30,1,6,1,10,1,5,1,20,1,76,"85


10",10
85,10,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,1,2,0,3,0,1,0,5,0,"19 (including ""10"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,1,6,1,10,1,6,0,18,1,71,"81


8",8
81,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,2,0,3,0,1,0,5,0,"18 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,30,1,8,0,10,1,5,1,19,1,76,"91


5",5
91,5,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,1,2,0,3,0,1,0,5,1,"20 (including ""5"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,13,1,4,0,5,0,3,0,9,1,36,"44


2",2
44,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,2,0,"10 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,11,1,3,0,4,0,2,0,8,0,29,"33


4",4
33,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""4"" Supernumerary)",,,,,
Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,1,2,0,4,0,2,0,7,0,26,"30


3",3
30,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,0,0,1,0,0,0,3,0,"7 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,6,0,3,0,10,1,42,"50


3",3
50,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,24,2,6,0,9,1,5,1,16,1,65,"75


7",7
75,7,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,2,0,2,0,1,0,5,0,"17 (including ""7"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,2,6,1,9,1,5,0,16,1,67,"75


10",10
75,10,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,2,0,3,0,1,0,5,0,"18 (including ""10"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,2,0,2,0,1,0,5,0,16,"20


0",0
20,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,2,0,2,0,1,0,5,0,16,"20


0",0
20,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,2,6,1,9,1,5,1,17,1,69,"75


12",12
75,12,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,2,0,3,0,1,0,5,0,"18 (including ""12"" Supernumerary)",,,,,
Indian Institute  of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,6,0,3,0,10,1,42,"50


3",3
50,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,4,0,5,0,4,0,8,1,36,"41


3",3
41,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,2,4,0,6,0,3,0,10,1,40,"46


2",2
46,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,1,3,0,5,0,2,0,8,0,30,"34


2",2
34,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,0,0,1,0,"6 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,5,1,9,1,4,1,16,2,65,"66


13",13
66,13,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,1,0,2,0,1,0,4,0,"14 (including ""13"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,2,6,1,10,1,5,1,18,1,72,"77


10",10
77,10,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,1,0,2,0,1,0,4,1,"15 (including ""10"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,5,1,9,1,4,1,17,1,66,"68


12",12
68,12,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,0,0,2,0,1,0,4,1,"14 (including ""12"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,1,9,1,4,1,17,1,66,"69


11",11
69,11,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,1,0,2,0,1,0,4,0,"14 (including ""11"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,2,7,1,10,1,4,1,19,1,74,"77


13",13
77,13,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,1,1,1,1,0,0,1,4,1,"16 (including ""13"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,4,0,6,0,3,0,9,0,36,"41


3",3
41,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,0,36,"36


8",8
36,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,30,2,8,1,12,1,5,1,21,1,82,"84


15",15
84,15,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,1,1,1,1,1,0,0,4,1,"17 (including ""15"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,1,6,1,4,0,13,1,51,"55


7",7
55,7,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""7"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Mining Engineering  (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,0,5,0,7,0,4,0,13,0,48,"49


10",10
49,10,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""10"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,10,1,38,"41


5",5
41,5,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""5"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,3,0,5,1,3,0,9,0,35,"36


7",7
36,7,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""7"" Supernumerary)",,,,,
Indian Institute  of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,1,37,"45


0",0
45,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
